index,file_path,true_class,predicted_class,predicted_confidence,secondary_class,secondary_confidence,confidence_band,rules_fired,if_then_reasoning,recommendation
0,data/raw/test\Bacterial Pneumonia\136.jpeg,Bacterial Pneumonia,Bacterial Pneumonia,0.3668,Viral Pneumonia,0.3072,low,low_confidence_needs_manual_review | ambiguous_top2_overlap | safety_alert_low_max_probability,IF max probability < medium_confidence THEN mark prediction as low-confidence and escalate to expert review. || IF (top1 - top2) < ambiguity_margin THEN treat case as ambiguous and report top-2 differential. || IF max probability < low_confidence_alert THEN trigger safety alert and require manual confirmation. || IF predicted class is Bacterial Pneumonia THEN supporting reason: model pattern suggests focal air-space opacity that is commonly associated with bacterial consolidation. || IF predicted class is Bacterial Pneumonia THEN supporting reason: high bacterial class probability compared with other classes.,Low-confidence prediction. Escalate to radiologist review and consider additional tests. Top-2 classes are close (Bacterial Pneumonia vs Viral Pneumonia); treat as uncertain differential.
1,data/raw/test\Bacterial Pneumonia\143.jpeg,Bacterial Pneumonia,Normal,0.7245,Viral Pneumonia,0.1992,medium,moderate_confidence_with_differential,IF max probability >= medium_confidence AND < high_confidence THEN set Normal as primary with Viral Pneumonia as differential diagnosis. || IF predicted class is Normal THEN supporting reason: model found no dominant pathological class above normal baseline. || IF predicted class is Normal THEN supporting reason: normal class probability is highest among all classes.,Primary diagnosis is Normal with differential Viral Pneumonia. Recommend clinical correlation and targeted follow-up review.
2,data/raw/test\Bacterial Pneumonia\144.jpeg,Bacterial Pneumonia,Viral Pneumonia,0.7355,Bacterial Pneumonia,0.2445,medium,moderate_confidence_with_differential,IF max probability >= medium_confidence AND < high_confidence THEN set Viral Pneumonia as primary with Bacterial Pneumonia as differential diagnosis. || IF predicted class is Viral Pneumonia THEN supporting reason: model pattern suggests diffuse bilateral involvement that is often associated with viral infection. || IF predicted class is Viral Pneumonia THEN supporting reason: viral class remains stronger than other pneumonia subclasses.,Primary diagnosis is Viral Pneumonia with differential Bacterial Pneumonia. Recommend clinical correlation and targeted follow-up review.
3,data/raw/test\Bacterial Pneumonia\147.jpeg,Bacterial Pneumonia,Viral Pneumonia,0.6468,Bacterial Pneumonia,0.3095,medium,moderate_confidence_with_differential,IF max probability >= medium_confidence AND < high_confidence THEN set Viral Pneumonia as primary with Bacterial Pneumonia as differential diagnosis. || IF predicted class is Viral Pneumonia THEN supporting reason: model pattern suggests diffuse bilateral involvement that is often associated with viral infection. || IF predicted class is Viral Pneumonia THEN supporting reason: viral class remains stronger than other pneumonia subclasses.,Primary diagnosis is Viral Pneumonia with differential Bacterial Pneumonia. Recommend clinical correlation and targeted follow-up review.
4,data/raw/test\Bacterial Pneumonia\148.jpeg,Bacterial Pneumonia,Normal,0.7102,Bacterial Pneumonia,0.2042,medium,moderate_confidence_with_differential,IF max probability >= medium_confidence AND < high_confidence THEN set Normal as primary with Bacterial Pneumonia as differential diagnosis. || IF predicted class is Normal THEN supporting reason: model found no dominant pathological class above normal baseline. || IF predicted class is Normal THEN supporting reason: normal class probability is highest among all classes.,Primary diagnosis is Normal with differential Bacterial Pneumonia. Recommend clinical correlation and targeted follow-up review.
5,data/raw/test\Bacterial Pneumonia\153.jpeg,Bacterial Pneumonia,Viral Pneumonia,0.499,Bacterial Pneumonia,0.3425,low,low_confidence_needs_manual_review | safety_alert_low_max_probability,IF max probability < medium_confidence THEN mark prediction as low-confidence and escalate to expert review. || IF max probability < low_confidence_alert THEN trigger safety alert and require manual confirmation. || IF predicted class is Viral Pneumonia THEN supporting reason: model pattern suggests diffuse bilateral involvement that is often associated with viral infection. || IF predicted class is Viral Pneumonia THEN supporting reason: viral class remains stronger than other pneumonia subclasses.,Low-confidence prediction. Escalate to radiologist review and consider additional tests.
6,data/raw/test\Bacterial Pneumonia\169.jpeg,Bacterial Pneumonia,Normal,0.8455,Viral Pneumonia,0.0808,high,high_confidence_primary_diagnosis,IF max probability >= high_confidence AND (top1 - top2) >= ambiguity_margin THEN accept Normal as primary diagnosis. || IF predicted class is Normal THEN supporting reason: model found no dominant pathological class above normal baseline. || IF predicted class is Normal THEN supporting reason: normal class probability is highest among all classes.,Prediction strongly supports Normal. Continue with disease-specific confirmatory protocol.
7,data/raw/test\Bacterial Pneumonia\17.jpeg,Bacterial Pneumonia,Bacterial Pneumonia,0.7538,Viral Pneumonia,0.2454,medium,moderate_confidence_with_differential,IF max probability >= medium_confidence AND < high_confidence THEN set Bacterial Pneumonia as primary with Viral Pneumonia as differential diagnosis. || IF predicted class is Bacterial Pneumonia THEN supporting reason: model pattern suggests focal air-space opacity that is commonly associated with bacterial consolidation. || IF predicted class is Bacterial Pneumonia THEN supporting reason: high bacterial class probability compared with other classes.,Primary diagnosis is Bacterial Pneumonia with differential Viral Pneumonia. Recommend clinical correlation and targeted follow-up review.
8,data/raw/test\Bacterial Pneumonia\174.jpeg,Bacterial Pneumonia,Bacterial Pneumonia,0.6634,Viral Pneumonia,0.1848,medium,moderate_confidence_with_differential,IF max probability >= medium_confidence AND < high_confidence THEN set Bacterial Pneumonia as primary with Viral Pneumonia as differential diagnosis. || IF predicted class is Bacterial Pneumonia THEN supporting reason: model pattern suggests focal air-space opacity that is commonly associated with bacterial consolidation. || IF predicted class is Bacterial Pneumonia THEN supporting reason: high bacterial class probability compared with other classes.,Primary diagnosis is Bacterial Pneumonia with differential Viral Pneumonia. Recommend clinical correlation and targeted follow-up review.
9,data/raw/test\Bacterial Pneumonia\179.jpeg,Bacterial Pneumonia,Bacterial Pneumonia,0.6312,Viral Pneumonia,0.3199,medium,moderate_confidence_with_differential,IF max probability >= medium_confidence AND < high_confidence THEN set Bacterial Pneumonia as primary with Viral Pneumonia as differential diagnosis. || IF predicted class is Bacterial Pneumonia THEN supporting reason: model pattern suggests focal air-space opacity that is commonly associated with bacterial consolidation. || IF predicted class is Bacterial Pneumonia THEN supporting reason: high bacterial class probability compared with other classes.,Primary diagnosis is Bacterial Pneumonia with differential Viral Pneumonia. Recommend clinical correlation and targeted follow-up review.
